B17001_002E,state,place,year
59426,06,53000,2019
10952,06,08954,2019
20945,06,20802,2019
15399,04,65000,2019
8830,04,04720,2019
31512,04,73000,2019
4797,04,07940,2019
15314,06,80644,2019
5576,06,39892,2019
13407,06,33434,2019
24722,06,40130,2019
66693,06,43000,2019
15088,06,56000,2019
19199,06,58072,2019
4722,06,50258,2019
27382,06,22804,2019
8739,06,46842,2019
10200,06,16532,2019
12064,06,53980,2019
18590,06,22230,2019
13571,06,81666,2019
1989,06,47766,2019
14342,06,45022,2019
20038,06,46898,2019
8539,06,80238,2019
7428,04,64210,2019
50902,01,07000,2019
4478,01,35896,2019
10281,04,71510,2019
15481,05,24550,2019
2461,08,12415,2019
2441,08,09280,2019
14559,05,35710,2019
21534,06,53896,2019
15957,06,33182,2019
6806,06,56700,2019
7833,08,45970,2019
15389,04,54050,2019
17527,04,12000,2019
47021,04,27820,2019
59387,04,46000,2019
10162,04,23620,2019
258625,04,55000,2019
11551,04,27400,2019
8453,06,02364,2019
7848,06,65042,2019
6769,04,28380,2019
14429,06,21712,2019
22866,06,82590,2019
43628,06,02000,2019
12871,06,28000,2019
16518,06,36000,2019
6768,05,60410,2019
17623,05,23290,2019
16487,05,66080,2019
8448,06,57456,2019
2482,06,83346,2019
6147,06,17918,2019
11626,06,16000,2019
1465,06,68378,2019
11050,06,59920,2019
13573,01,21184,2019
28365,02,03000,2019
9236,06,45484,2019
71931,06,68000,2019
82356,06,67000,2019
4932,06,69084,2019
9751,06,82996,2019
43478,08,16000,2019
25028,08,62000,2019
651205,06,44000,2019
17580,06,69088,2019
10966,06,59444,2019
8629,06,86972,2019
8758,06,77000,2019
153361,06,66000,2019
27573,06,64224,2019
10820,06,23182,2019
14459,22,08920,2019
13382,19,01855,2019
10899,19,82425,2019
2324,13,01696,2019
5565,13,67284,2019
7878,12,24562,2019
,12,00410,2019
12055,12,58715,2019
45623,12,53000,2019
6341,12,36100,2019
12678,12,45025,2019
10662,12,16475,2019
13066,12,14400,2019
8496,12,54200,2019
10634,12,54000,2019
14439,12,08150,2019
3473,17,68003,2019
9337,26,86000,2019
21762,26,03000,2019
43432,26,34000,2019
2475,06,55282,2019
33799,01,37000,2019
15848,01,03076,2019
32490,19,21000,2019
20298,19,12000,2019
5661,24,32650,2019
33163,18,25000,2019
14983,17,79293,2019
,12,57900,2019
12553,13,80508,2019
49589,12,30000,2019
14906,12,32275,2019
94209,12,45000,2019
14944,12,16525,2019
18551,17,72000,2019
21063,17,12385,2019
7762,27,06616,2019
1770,27,40166,2019
11777,26,76460,2019
17929,19,38595,2019
16143,20,38900,2019
6901,24,31175,2019
134443,18,36003,2019
25866,18,71000,2019
33312,17,65000,2019
31475,15,71550,2019
20772,13,01052,2019
21259,17,03012,2019
14949,12,24125,2019
6635,12,71569,2019
10950,12,68350,2019
5648,27,17288,2019
4674,27,35180,2019
5110,26,27440,2019
8139,06,80000,2019
26001,06,48354,2019
8936,06,80812,2019
13952,06,60466,2019
5882,06,11390,2019
19811,18,51876,2019
7795,24,72450,2019
5297,24,32025,2019
1389,08,36410,2019
20099,10,77580,2019
90534,11,50000,2019
36724,09,08000,2019
28337,09,80000,2019
95034,13,04000,2019
4378,17,07133,2019
14164,17,38570,2019
9530,12,17935,2019
17982,12,45060,2019
18551,26,42160,2019
3923,27,71428,2019
11467,27,56896,2019
5808,27,07966,2019
5380,26,49000,2019
6485,06,11530,2019
11509,06,15044,2019
15323,06,84550,2019
4157,06,73262,2019
24070,06,54652,2019
20325,22,41155,2019
7590,24,19125,2019
115472,24,04000,2019
4276,13,68516,2019
39060,13,04204,2019
31514,13,03440,2019
,13,42425,2019
65968,12,71000,2019
9159,12,70675,2019
17077,12,32000,2019
6871,12,57425,2019
14418,12,10275,2019
5308,12,75875,2019
4534,25,45560,2019
14834,25,37000,2019
21634,25,23000,2019
24523,26,46000,2019
25238,06,49270,2019
9938,25,55745,2019
11922,25,11000,2019
5085,18,54180,2019
4465,20,64500,2019
4059,18,10342,2019
13183,18,31000,2019
13743,12,72145,2019
10796,12,07300,2019
16943,12,38250,2019
35336,28,36000,2019
2299,26,69035,2019
47726,27,58000,2019
6713,06,68252,2019
55566,06,03526,2019
14755,06,16350,2019
9716,06,62938,2019
5852,06,13210,2019
41673,06,65000,2019
13154,05,15190,2019
2739,19,83910,2019
3238,08,12815,2019
2744,17,02154,2019
8231,17,14351,2019
16122,12,56825,2019
6198,12,35875,2019
15747,12,12875,2019
18976,25,45000,2019
14845,25,37490,2019
29319,25,82000,2019
8604,27,54880,2019
10753,06,68196,2019
11344,06,70098,2019
38349,06,36770,2019
12293,05,50450,2019
121007,06,27000,2019
13360,06,53322,2019
33594,20,36000,2019
,18,23278,2019
5772,24,30325,2019
2590,24,26000,2019
24891,08,27425,2019
9217,08,46465,2019
15937,12,55775,2019
17668,12,58050,2019
31689,12,25175,2019
10397,12,39425,2019
17263,12,76600,2019
30138,12,39925,2019
432385,17,14000,2019
34632,13,19000,2019
24045,26,21000,2019
201766,26,22000,2019
6591,06,00562,2019
9582,06,44574,2019
6172,06,60102,2019
5087,06,59962,2019
5031,06,10046,2019
19561,22,50115,2019
11301,19,73335,2019
15478,19,19000,2019
12547,12,69700,2019
8698,09,18430,2019
30387,09,52000,2019
9402,09,73000,2019
27599,12,63000,2019
5384,17,51622,2019
19031,17,59000,2019
16072,17,18823,2019
111442,25,07000,2019
8708,25,62535,2019
33853,25,67000,2019
5754,25,24960,2019
5835,06,78582,2019
8115,06,72016,2019
5591,06,39486,2019
3548,06,24638,2019
70314,06,64000,2019
99524,04,77000,2019
23701,18,05860,2019
,19,02305,2019
13931,20,71000,2019
9124,12,17100,2019
26042,13,69000,2019
14115,12,16725,2019
13484,27,17000,2019
4690,26,80700,2019
5123,24,67675,2019
48298,21,46027,2019
93012,21,48006,2019
12554,17,23074,2019
9888,17,06613,2019
7589,16,56260,2019
49504,12,70600,2019
10247,12,43975,2019
20380,12,36950,2019
13147,25,34550,2019
16758,25,09000,2019
72208,27,43000,2019
5179,06,08786,2019
8431,06,68084,2019
6919,06,00884,2019
7790,23,60545,2019
7377,20,53775,2019
8769,20,52575,2019
10430,18,40788,2019
22641,22,40735,2019
6853,08,83835,2019
,12,49675,2019
9246,17,57225,2019
34285,13,49008,2019
9658,13,72122,2019
6402,26,88940,2019
10261,06,36448,2019
7285,06,50076,2019
8780,06,14218,2019
19295,06,13014,2019
88044,22,55000,2019
54498,20,79000,2019
,12,76582,2019
11387,12,58350,2019
11048,12,39550,2019
11840,12,45975,2019
15420,09,50370,2019
31220,09,37000,2019
7183,09,55990,2019
21342,28,29700,2019
2675,27,51730,2019
50235,22,05000,2019
28031,12,24000,2019
,12,75812,2019
10150,12,17200,2019
7526,17,24582,2019
8920,17,70122,2019
15859,26,84000,2019
10460,26,74900,2019
30718,26,29000,2019
7243,06,52526,2019
22080,18,22000,2019
21059,18,27000,2019
14759,21,08902,2019
3291,24,81175,2019
18148,08,07850,2019
8821,08,03455,2019
8194,12,60950,2019
7275,12,07875,2019
,12,71625,2019
3284,27,06382,2019
9520,06,69112,2019
9855,06,70000,2019
14351,06,73080,2019
7507,06,84200,2019
18365,06,29000,2019
2555,06,39248,2019
2876,06,86832,2019
13458,06,69196,2019
8678,06,69070,2019
8869,06,19766,2019
25180,06,30000,2019
20766,06,55156,2019
1850,06,60018,2019
47823,22,70000,2019
6343,22,39475,2019
35295,08,04000,2019
125468,12,35000,2019
30699,16,08830,2019
9608,16,52120,2019
392,40,24200,2020
23,40,24300,2020
1,40,24460,2020
95,40,24500,2020
747,40,24650,2020
0,40,24762,2020
249,40,24850,2020
188,40,24875,2020
189,40,24900,2020
26,40,24950,2020
18,40,25000,2020
455,40,25100,2020
0,40,25250,2020
84,40,25400,2020
48,40,25450,2020
0,40,25650,2020
0,40,25700,2020
7,40,25850,2020
0,40,26000,2020
0,40,26200,2020
101,40,26250,2020
92,40,26350,2020
209,40,26415,2020
48,40,26525,2020
0,40,26750,2020
138,40,26850,2020
82,40,26900,2020
115,40,27100,2020
108,40,27150,2020
774,40,27200,2020
72,40,27350,2020
85,40,27400,2020
14,40,27450,2020
61,40,27500,2020
14,40,27550,2020
131,40,27600,2020
63,40,27650,2020
985,40,27800,2020
45,40,27850,2020
0,40,27900,2020
66,40,28250,2020
85,40,28350,2020
57,40,28500,2020
37,40,28700,2020
7,40,28800,2020
146,40,28900,2020
66,40,28950,2020
184,40,29100,2020
0,40,29150,2020
0,40,29300,2020
93,40,29400,2020
1313,40,29600,2020
23,40,29800,2020
263,40,29850,2020
15,40,29900,2020
209,40,30200,2020
201,40,30300,2020
9,40,30350,2020
14,41,66200,2020
25,41,66385,2020
334,41,66550,2020
8,41,66700,2020
159,41,66900,2020
770,41,67050,2020
694,41,67100,2020
126,41,67500,2020
0,41,67600,2020
900,41,67650,2020
326,41,67950,2020
60,41,68550,2020
73,41,68875,2020
7,41,69387,2020
0,41,69400,2020
20,41,69450,2020
11349,41,69600,2020
63,41,69800,2020
248,41,69900,2020
666,41,70200,2020
119,41,70700,2020
13,41,70850,2020
48,41,70870,2020
32,41,71000,2020
73,41,71250,2020
844,41,71650,2020
120,41,71800,2020
