B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,place,year
58595,142107,1323,3497,0,1877,2681,01,07000,2019
40302,24139,77,847,21,1739,1397,01,21184,2019
61453,16972,0,3659,0,1978,1710,01,35896,2019
120229,65522,607,3498,132,7133,4473,01,37000,2019
73758,104747,511,3487,61,1305,4841,01,50000,2019
62981,120428,591,6933,0,3446,4146,01,51000,2019
50849,46061,0,2808,0,233,1182,01,77256,2019
180389,15207,25556,25976,8041,6490,26341,02,03000,2019
61927,9896,1072,1707,602,9326,3387,04,04720,2019
61615,6149,718,510,171,7492,2969,04,07940,2019
59608,1104,1600,1726,0,3018,3784,04,10670,2019
180690,14417,6305,30649,122,14471,14495,04,12000,2019
58558,1242,3846,2628,308,3364,5098,04,23620,2019
212599,8450,2989,13059,77,6538,10403,04,27400,2019
190046,20321,6871,9797,100,16940,8309,04,27820,2019
65235,7234,1371,4010,0,5648,3345,04,28380,2019
421882,28816,16396,13304,1903,19830,15850,04,46000,2019
143477,6275,820,8800,190,7093,9305,04,54050,2019
1289208,122763,34465,67512,5668,96681,64691,04,55000,2019
82250,4771,5672,1198,0,3981,2860,04,64210,2019
228165,5238,3567,12995,249,1416,6434,04,65000,2019
121534,8080,1349,3090,243,3934,3444,04,71510,2019
144455,14782,3601,18138,204,8049,6587,04,73000,2019
394079,28528,20580,17344,1733,50570,35248,04,77000,2019
83857,2340,1690,1942,210,4250,4007,04,85540,2019
51583,12086,0,1352,0,552,2067,05,15190,2019
71568,6014,1316,3049,0,2722,2916,05,23290,2019
55772,8413,963,5194,0,11058,6495,05,24550,2019
55163,17862,188,1527,0,475,3165,05,35710,2019
102108,83562,767,6085,102,1727,2967,05,41000,2019
32455,27574,132,893,0,2500,2345,05,50450,2019
60808,1020,610,1668,1894,1279,1395,05,60410,2019
54969,2731,0,1365,6285,13264,1840,05,66080,2019
34922,6467,418,25234,96,4025,6468,06,00562,2019
17800,2361,540,45339,0,14799,2893,06,00884,2019
228882,12032,2545,63812,2336,29529,11215,06,02000,2019
40859,23551,563,18317,762,19182,8272,06,02252,2019
57296,4292,712,1189,479,5615,3881,06,02364,2019
64503,11352,422,6910,1653,9897,13490,06,02553,2019
259241,26672,4369,29637,844,46814,16582,06,03526,2019
41140,497,933,15749,0,11439,5482,06,03666,2019
23738,13179,62,6561,248,29889,2768,06,04982,2019
72845,7549,609,27183,345,3893,8929,06,06000,2019
44145,865,48,27646,65,6614,2400,06,08786,2019
73104,2998,747,14081,0,4702,6876,06,08954,2019
54288,1397,558,7434,90,2491,3629,06,10046,2019
96652,441,50,12311,0,471,5461,06,11194,2019
54950,2412,254,2834,702,1126,4522,06,11390,2019
20981,25604,184,25774,1258,12764,4842,06,11530,2019
84193,2672,479,4133,359,6821,4658,06,13014,2019
63597,3722,289,14109,1088,7439,4108,06,13210,2019
34500,1869,299,36200,189,6021,4765,06,13214,2019
172080,14063,858,49733,1191,22798,13762,06,13392,2019
72188,2965,1559,2958,0,2805,5317,06,13588,2019
80183,3456,1986,11643,842,9531,6941,06,14218,2019
32503,21659,233,376,452,38307,2071,06,15044,2019
77326,5281,934,17729,104,17979,9967,06,16000,2019
91545,8802,1014,22101,290,38837,7265,06,16350,2019
65384,1003,992,12279,549,27779,5025,06,16532,2019
24409,2633,832,63816,568,10459,3577,06,17918,2019
42765,2207,1104,18858,379,1261,2846,06,18100,2019
67098,2997,150,7128,162,29785,3807,06,19766,2019
68041,395,1437,1745,59,47096,1117,06,20802,2019
80533,5091,84,4052,357,8008,4574,06,21712,2019
74606,16212,1186,59652,3418,7486,12231,06,22020,2019
32272,736,1627,37395,1847,37111,4489,06,22230,2019
118117,2429,526,8755,892,12819,8081,06,22804,2019
60766,16993,366,18749,2361,7881,10020,06,23182,2019
38773,4583,1068,380,0,24081,1264,06,24477,2019
55425,4451,0,16655,445,1843,2505,06,24638,2019
71848,17558,2627,13085,116,95133,14190,06,24680,2019
57616,7428,1539,148114,1316,14403,10701,06,26000,2019
321138,37875,5317,73306,623,70030,23292,06,27000,2019
88762,1882,619,32031,36,8474,6834,06,28000,2019
73060,859,691,75333,406,16734,4587,06,29000,2019
150462,3139,141,32297,330,7016,5916,06,30000,2019
51217,18505,275,4619,152,8501,2793,06,32548,2019
46791,15163,1305,47010,4179,32600,12154,06,33000,2019
65421,6380,586,1765,0,8279,2910,06,33182,2019
75719,2855,895,2603,218,7912,5551,06,33434,2019
133661,2307,907,25384,1822,22950,12197,06,36000,2019
66170,5790,893,1793,0,14300,2810,06,36448,2019
36297,43590,310,2617,155,21133,4068,06,36546,2019
137374,6776,293,123458,474,3515,15497,06,36770,2019
57170,2453,1586,4932,0,38026,5358,06,37692,2019
50060,1465,111,6285,191,4152,4120,06,39248,2019
37144,5261,196,5858,428,14930,5466,06,39486,2019
57117,689,262,17708,192,5845,3716,06,39496,2019
37496,11889,433,16893,175,8453,3963,06,39892,2019
94807,40095,493,6418,53,9715,6023,06,40130,2019
64441,1823,434,11090,334,4524,7542,06,41992,2019
43525,995,60,8577,0,1636,12788,06,42202,2019
242002,52141,4802,55726,2702,83076,22196,06,43000,2019
2073794,344360,31761,463908,5482,899460,160772,06,44000,2019
47162,8542,58,221,0,13167,752,06,44574,2019
36149,1979,166,1386,925,24450,804,06,45022,2019
56842,4918,797,9124,1170,3054,7132,06,45484,2019
56059,7160,416,6024,1326,18063,5690,06,46842,2019
31790,2720,680,10773,0,34209,3496,06,46898,2019
13021,2915,729,55330,0,6720,5469,06,47766,2019
70227,1879,120,10598,95,5707,5749,06,48256,2019
169111,10648,1637,12992,1341,10771,8696,06,48354,2019
73477,40111,964,13666,296,79263,5287,06,49270,2019
45629,1356,230,25558,0,6308,3645,06,49670,2019
85091,7130,465,6713,406,8331,8087,06,50076,2019
60100,755,225,1821,96,12041,3092,06,50258,2019
70396,610,659,7618,127,2332,2780,06,51182,2019
38717,5652,727,12866,951,41624,3409,06,52526,2019
149406,108013,5526,61929,1676,79122,27372,06,53000,2019
134321,7457,2261,8394,1454,8389,13486,06,53322,2019
114932,8225,1010,12600,1278,36466,10488,06,53896,2019
102645,1859,828,16811,2002,8794,5722,06,53980,2019
159225,5191,2300,18139,42,15766,8212,06,54652,2019
92743,24708,5886,7105,941,20079,3603,06,55156,2019
35937,1667,58,22318,87,1148,4150,06,55282,2019
69813,8182,306,24594,69,30022,8054,06,56000,2019
23126,8784,0,4346,41,42207,790,06,56700,2019
26832,9335,745,10564,239,18248,6606,06,57456,2019
45848,815,314,27517,0,3284,4016,06,57792,2019
71953,8145,3094,16229,289,46140,5846,06,58072,2019
40311,7957,299,10563,636,5842,9478,06,59444,2019
105194,14331,969,24986,0,18763,13371,06,59451,2019
77779,1481,2572,4262,42,2451,4011,06,59920,2019
55702,2548,119,7542,0,2305,3300,06,59962,2019
46608,1332,240,10595,0,1213,6769,06,60018,2019
50716,1196,852,13303,1691,13571,4597,06,60102,2019
67740,17317,751,2411,0,10816,4505,06,60466,2019
26993,20178,974,14236,58,41758,6378,06,60620,2019
192912,17525,3066,25947,1305,74787,15827,06,62000,2019
54853,718,197,7973,144,797,4133,06,62364,2019
113327,4122,772,14486,157,1062,7566,06,62938,2019
226820,60056,4539,94364,9645,76200,41996,06,64000,2019
44033,2756,461,8284,64,95943,3932,06,64224,2019
122992,33969,743,10068,769,37196,10043,06,65000,2019
93037,2158,832,2930,0,3892,6259,06,65042,2019
53787,1102,187,3392,77,1579,4438,06,65084,2019
931529,87265,7309,242168,6718,69070,79793,06,66000,2019
398662,48225,3568,307649,3785,69536,50124,06,67000,2019
434112,30288,5459,385177,4025,110271,52454,06,68000,2019
29704,10544,330,30378,1874,12091,3901,06,68084,2019
74391,2245,362,9062,0,5340,5273,06,68196,2019
52046,1747,30,26790,1620,13429,8776,06,68252,2019
30035,601,47,40254,0,710,4337,06,68378,2019
95953,3246,1458,36643,1168,186560,7304,06,69000,2019
71742,915,532,3412,40,11658,3058,06,69070,2019
45282,3720,748,60674,2426,10622,6899,06,69084,2019
154633,10412,1341,22177,571,15269,8572,06,69088,2019
46329,1455,447,6570,0,4642,5162,06,69112,2019
91878,2210,1570,3223,0,6948,1444,06,69196,2019
71095,3775,726,8370,0,2131,4304,06,70000,2019
108787,4547,1854,11176,1117,38768,10512,06,70098,2019
93465,1450,536,15820,821,8001,5501,06,72016,2019
23163,1285,475,31430,1530,7525,2373,06,73262,2019
139637,31426,1766,71285,2460,26841,39267,06,75000,2019
60749,1690,614,68032,95,12358,9172,06,77000,2019
75928,2948,537,16135,264,9498,9441,06,78120,2019
104092,2762,196,10834,138,4760,4033,06,78582,2019
61318,5072,1207,54151,346,8847,12648,06,80000,2019
58006,4275,345,12337,930,10011,8847,06,80238,2019
55104,713,1028,923,249,5223,2268,06,80644,2019
60566,1772,102,4076,408,2433,4272,06,80812,2019
46823,1508,588,16861,0,9933,3633,06,80854,2019
15746,3500,386,39345,1025,7533,6564,06,81204,2019
44971,6989,410,6781,121,12734,5117,06,81344,2019
63694,8450,1538,11143,1045,5928,8871,06,81554,2019
44849,24043,546,28713,227,14914,8400,06,81666,2019
74872,22685,1156,2481,0,14272,6933,06,82590,2019
76332,3973,1750,8006,167,38725,5655,06,82954,2019
87848,1524,1551,3115,1483,3020,3098,06,82996,2019
50488,2409,423,10750,883,412,4796,06,83346,2019
37473,4766,610,24870,21,30165,7209,06,84200,2019
31525,2582,172,42201,557,10321,3284,06,84550,2019
44487,455,934,3960,0,31929,3322,06,85292,2019
48731,1151,111,14424,67,1253,1908,06,86832,2019
42161,1727,657,12989,152,3924,5399,06,86972,2019
110860,867,1451,2329,42,2203,3343,08,03455,2019
229708,64979,3219,23467,1562,35395,20982,08,04000,2019
92690,1401,227,7377,55,972,2948,08,07850,2019
60615,1019,300,5048,0,1310,2173,08,09280,2019
62045,864,404,1598,0,1633,1950,08,12415,2019
92398,3764,54,7153,40,3524,3978,08,12815,2019
375594,31432,4617,14403,1742,22037,28390,08,16000,2019
561365,62853,4596,26532,505,38352,33008,08,20000,2019
149693,2351,2075,5205,252,2398,8271,08,27425,2019
92148,3565,1615,1431,462,5043,4386,08,32155,2019
88379,864,228,5838,0,753,3748,08,36410,2019
135584,1860,1940,6801,71,4870,6791,08,43000,2019
88811,2194,260,1623,0,2080,1704,08,45970,2019
73725,492,515,1322,105,988,1724,08,46465,2019
87485,2899,5160,679,23,9501,6610,08,62000,2019
112187,3214,1764,7384,19,8932,7954,08,77290,2019
96014,1304,535,6807,86,2680,5753,08,83835,2019
57009,47762,119,6205,248,27379,5643,09,08000,2019
49149,10348,148,5154,0,16442,3451,09,18430,2019
33753,45821,309,1748,0,25748,14728,09,37000,2019
39652,9865,531,1984,0,14588,5871,09,50370,2019
57834,43479,174,7098,0,15104,6568,09,52000,2019
58912,15040,299,7131,0,2611,4833,09,55990,2019
83194,21081,0,10400,55,8898,6008,09,73000,2019
66446,23285,174,2094,0,11703,3875,09,80000,2019
25961,38802,134,848,0,3207,1212,10,77580,2019
300058,320704,1886,28722,190,30868,23321,11,50000,2019
72442,7105,447,6958,0,4356,5220,12,00410,2019
85792,5173,230,4316,0,1749,2535,12,07300,2019
49291,25824,0,1580,0,682,1313,12,07875,2019
78263,21447,573,8445,82,3100,4919,12,08150,2019
171979,11345,71,3491,0,3946,3672,12,10275,2019
92772,11925,664,5043,35,1751,4748,12,12875,2019
86755,34317,473,5475,0,2174,4571,12,14400,2019
72679,7988,967,10302,0,11168,3206,12,16475,2019
39217,22549,111,1762,0,2279,3279,12,16525,2019
53082,19602,206,2404,0,3225,2551,12,16725,2019
43281,21642,0,1146,0,1482,1898,12,17100,2019
60687,13029,374,2094,36,12790,3742,12,17200,2019
61054,429,19,1415,0,1631,1198,12,17935,2019
115606,56716,393,3060,345,2692,3622,12,24000,2019
56802,18110,0,1643,0,8842,1714,12,24125,2019
64791,183,0,2092,0,718,835,12,24562,2019
86425,30248,306,7850,1169,2673,5319,12,25175,2019
215187,4197,96,1531,0,9675,2676,12,30000,2019
99764,34019,44,2583,231,9772,8389,12,32000,2019
518116,284385,3281,44551,305,26453,34437,12,35000,2019
58467,710,472,1937,0,1041,3170,12,35875,2019
66086,5479,0,4015,0,3170,1660,12,36100,2019
44799,8546,287,2167,135,15676,1091,12,36950,2019
76050,23681,1292,1878,215,6480,2546,12,38250,2019
72512,5831,0,3029,129,1147,2309,12,39425,2019
97044,23910,647,2938,611,5160,4357,12,39925,2019
70519,5950,62,2934,0,678,2887,12,43975,2019
360644,73250,634,6194,67,18692,8487,12,45000,2019
64098,4743,0,3659,0,14111,2274,12,45025,2019
30425,72250,369,549,32,4597,1781,12,45060,2019
61248,66435,348,6807,0,3046,3312,12,45975,2019
192770,61670,957,9084,50,13574,9330,12,53000,2019
84162,16737,83,1588,49,4657,8284,12,54000,2019
72270,8475,204,3132,816,2595,2305,12,54200,2019
111058,40152,405,7424,590,4872,9090,12,55775,2019
10161,71351,42,1258,0,6884,5106,12,56825,2019
60649,24568,0,4526,0,1759,3103,12,57425,2019
46604,19132,0,388,0,5174,1247,12,57900,2019
74230,30200,118,1173,0,1964,4437,12,58050,2019
56083,5382,701,1059,0,1294,1432,12,58350,2019
149044,30347,780,5875,0,7526,8286,12,58715,2019
66535,17696,365,2139,0,5467,4832,12,60950,2019
194830,51397,462,6012,0,2688,9969,12,63000,2019
100091,5384,191,1202,225,2176,4518,12,68350,2019
51837,30552,158,4602,0,3627,4377,12,69700,2019
102774,75379,300,9354,71,1802,4823,12,70600,2019
39664,20703,497,847,78,1782,3141,12,70675,2019
254481,94204,433,20169,637,14103,15663,12,71000,2019
54043,2106,0,1519,0,7140,957,12,71569,2019
76286,9647,0,3274,37,5282,4024,12,72145,2019
54202,4472,0,2313,0,3442,960,12,75812,2019
44222,8262,131,4396,0,1483,4022,12,75875,2019
62899,1478,144,4255,0,1929,459,12,76582,2019
63782,40301,29,1333,0,3244,3263,12,76600,2019
40618,9661,0,13815,0,518,2596,13,01696,2019
79967,35510,28,5434,0,1818,3961,13,03440,2019
214354,248709,1172,26881,673,4418,10597,13,04000,2019
68480,113505,186,3628,0,5105,6421,13,04204,2019
83333,91340,940,5734,292,6568,7562,13,19000,2019
51613,10085,54,18380,0,2525,1933,13,42425,2019
60153,83244,0,3412,130,2109,4111,13,49008,2019
68184,14176,344,5432,0,3473,3138,13,67284,2019
69619,24523,0,8635,0,4148,2541,13,68516,2019
58464,76021,509,4523,66,2829,2045,13,69000,2019
58828,8807,1169,179537,31132,5146,60436,15,71550,2019
204507,2321,1989,5829,229,5786,8304,16,08830,2019
80307,879,910,998,134,10138,5910,16,56260,2019
57649,1930,203,8260,0,2250,1533,17,02154,2019
128965,21403,1216,19281,262,17397,10303,17,03012,2019
59734,8840,133,5890,92,496,2138,17,06613,2019
39746,11498,494,8565,0,10976,2025,17,07133,2019
56894,14863,0,12928,170,661,3403,17,12385,2019
1369124,782431,9543,188904,1783,257196,84978,17,14000,2019
48209,17322,50,997,73,107,2795,17,18823,2019
68352,7276,287,3692,42,27267,3973,17,23074,2019
49708,12283,408,6372,0,1677,3022,17,24582,2019
98267,26738,1178,3038,0,14365,5220,17,38570,2019
107686,6513,113,29054,0,1355,4919,17,51622,2019
48117,4399,111,7061,82,6173,1493,17,57225,2019
66827,30292,81,6995,0,2614,3127,17,59000,2019
97331,32042,182,5459,0,3185,5508,17,65000,2019
44352,4177,0,19981,0,2907,1445,17,68003,2019
33403,4911,81,21164,6,718,2408,17,70122,2019
82505,24303,68,3227,0,279,3789,17,72000,2019
42323,17758,364,6085,0,16655,3077,17,79293,2019
71779,2898,82,9371,0,212,2288,18,05860,2019
81814,4381,369,12078,0,324,2952,18,10342,2019
93471,15714,55,1955,1178,1904,3280,18,22000,2019
81661,5695,0,6957,0,595,1393,18,23278,2019
187997,40495,930,14131,90,7246,12018,18,25000,2019
31435,19486,467,477,69,22038,1545,18,31000,2019
526429,250615,3019,35219,96,26114,28848,18,36003,2019
60155,5870,36,2007,0,3924,641,18,40788,2019
57741,6303,0,952,0,171,2800,18,51876,2019
62659,28275,738,1207,48,6082,3593,18,71000,2019
52497,2944,330,6518,0,803,3166,19,01855,2019
110302,11462,684,3195,0,2022,5898,19,12000,2019
81011,12228,752,2409,0,1051,4140,19,19000,2019
163601,29088,705,12528,139,3283,4856,19,21000,2019
60977,2806,369,5509,82,1673,3733,19,38595,2019
69935,3719,1694,2671,0,1528,3741,19,73335,2019
49855,12258,40,930,0,1138,3105,19,82425,2019
57571,1046,0,7173,0,822,1084,19,83910,2019
83268,35424,808,8703,100,17480,7035,20,36000,2019
77545,4108,2274,6936,0,826,6507,20,38900,2019
117699,9654,36,5902,0,1896,5370,20,52575,2019
155821,11051,564,16910,407,4121,6609,20,53775,2019
58053,2320,63,1656,0,1380,2338,20,64500,2019
96426,13763,1331,1665,0,7330,4803,20,71000,2019
290560,40916,3719,19482,79,14171,20987,20,79000,2019
51979,8515,509,3796,30,2021,3692,21,08902,2019
237490,47878,708,13446,51,9032,14547,21,46027,2019
432189,148239,769,16283,459,4224,15467,21,48006,2019
91047,113957,517,8649,0,3055,3023,22,05000,2019
45300,17855,0,2499,0,601,1892,22,08920,2019
48766,10897,341,2168,0,2549,1634,22,39475,2019
82429,37610,408,3416,0,375,1961,22,40735,2019
36287,38778,0,1558,0,1075,697,22,41155,2019
106361,13754,601,5174,46,1722,2769,22,50115,2019
132595,229418,1349,11049,29,7684,8020,22,55000,2019
71194,108150,787,2633,378,603,3070,22,70000,2019
56900,4615,259,2122,30,145,2147,23,60545,2019
179979,371243,2206,15776,243,11425,12618,24,04000,2019
53809,29537,337,13088,165,1379,6411,24,19125,2019
39201,6690,404,23201,65,973,2071,24,26000,2019
53502,11607,0,3835,0,1496,1797,24,30325,2019
34145,11970,28,14266,0,2940,4633,24,31175,2019
36124,21275,0,19840,0,2919,3549,24,32025,2019
46129,19575,517,2182,0,3852,2701,24,32650,2019
39113,5492,133,16056,0,4299,2992,24,67675,2019
30719,23110,0,6150,0,20645,2623,24,72450,2019
22239,51240,182,2123,0,1787,3400,24,81175,2019
369561,173098,1814,67451,616,37734,44021,25,07000,2019
31524,51631,684,1893,0,6966,3007,25,09000,2019
74349,13954,123,20546,53,3212,6688,25,11000,2019
75279,5965,1144,1405,0,3125,2616,25,23000,2019
47092,6836,107,2249,167,15991,1987,25,24960,2019
26803,5372,211,1900,0,43747,2005,25,34550,2019
69986,9211,1147,19307,629,7146,3564,25,37000,2019
52307,8919,596,4581,160,21514,6223,25,37490,2019
59000,8677,307,1904,0,20381,5079,25,45000,2019
66595,2463,501,13453,0,1581,3818,25,45560,2019
56347,4855,313,28696,62,1510,2685,25,55745,2019
60505,2839,792,9887,12,2173,5150,25,62535,2019
96153,29399,342,6224,0,14075,7406,25,67000,2019
135427,24158,1391,9208,221,7032,7984,25,82000,2019
84969,9672,451,19117,0,676,5091,26,03000,2019
83439,3012,210,1831,56,1267,4112,26,21000,2019
98275,521857,4427,11705,25,22061,11702,26,22000,2019
49397,16344,204,12951,0,50,1651,26,27440,2019
35870,52944,44,805,0,546,5332,26,29000,2019
131663,37938,700,4529,48,12122,14004,26,34000,2019
48324,19305,328,2164,0,928,5152,26,42160,2019
75676,26440,996,7285,0,817,5463,26,46000,2019
83818,2885,35,2908,0,110,3908,26,49000,2019
61577,1641,0,9464,0,135,1692,26,69035,2019
20066,45167,207,1452,65,1492,4251,26,74900,2019
109955,6749,69,11577,0,453,3626,26,76460,2019
56865,2651,5,22883,0,831,852,26,80700,2019
84414,27438,1862,15487,0,1154,3589,26,84000,2019
61610,12909,424,3636,0,1010,1935,26,86000,2019
58023,6216,426,1027,0,5822,4146,26,88940,2019
50819,2755,272,6759,42,1245,3720,27,06382,2019
61876,9209,837,5271,0,3581,4161,27,06616,2019
37130,19657,324,16944,0,678,5668,27,07966,2019
76406,1502,1961,1302,0,736,3710,27,17000,2019
45666,10644,472,6142,0,1043,2409,27,17288,2019
57349,823,236,6026,0,202,2690,27,35180,2019
276283,82973,5203,20764,578,19790,24014,27,43000,2019
61785,4588,246,8984,0,1708,2474,27,51730,2019
93904,9553,337,9490,441,779,4420,27,54880,2019
50254,11483,452,1284,0,1096,2172,27,56896,2019
177090,50813,1905,60019,83,5303,12883,27,58000,2019
61273,4773,0,5019,0,497,1251,27,71428,2019
38076,29980,0,377,0,393,2875,28,29700,2019
28082,129690,844,745,0,282,889,28,36000,2019
96029,13022,404,7885,68,782,5014,29,15670,2019
85899,12491,513,2915,1752,9786,3317,29,35000,2019
311177,129375,1053,11719,1109,19211,21634,29,38000,2019
80676,12189,54,1759,53,426,4133,29,41348,2019
77353,4684,97,3578,25,387,2535,29,54074,2019
59455,5734,342,2175,0,1305,1998,29,64082,2019
64460,4578,642,1114,1462,485,2312,29,64550,2019
140701,135967,1123,10331,0,3785,8669,29,65000,2019
147155,7395,1286,3525,0,2598,5905,29,70000,2019
97052,1586,5272,785,0,1026,3856,30,06550,2019
69006,889,1068,1699,0,211,2654,30,50200,2019
243477,12702,2828,14383,580,4619,10507,31,28000,2019
367715,61657,3555,19722,52,8118,17384,31,37000,2019
100970,24212,1597,41258,1437,11151,11246,32,23770,2019
232669,19843,1410,29480,1574,18933,16281,32,31900,2019
402643,77834,7951,46179,5600,77377,33713,32,40000,2019
139580,50226,2419,18227,3117,24002,14413,32,51800,2019
118462,26422,4906,29512,1733,45231,11633,32,54600,2019
188109,6925,2258,19294,1342,26977,10719,32,60600,2019
73529,3385,1527,4333,1017,16576,4644,32,68400,2019
105858,33356,1780,40288,2371,26644,12075,32,68585,2019
105322,28916,1424,9597,1147,38294,8268,32,71400,2019
94574,7046,296,5584,46,2015,3097,33,45140,2019
75946,2372,330,5968,0,1531,3209,33,50260,2019
46001,7188,156,7357,0,873,3328,34,03580,2019
12710,30784,0,2191,0,25481,2394,34,10000,2019
66208,3285,0,6017,0,6129,3414,34,13690,2019
3545,53729,301,2564,120,2630,1468,34,19390,2019
45286,27360,196,1202,0,51284,3887,34,21000,2019
103825,60542,1231,65273,0,18229,12975,34,36000,2019
94067,140648,628,4238,0,34540,7878,34,51000,2019
51220,5130,666,1698,64,9151,1765,34,56550,2019
43082,37815,44,9593,0,52404,2289,34,57000,2019
79701,5234,0,2013,0,1003,3834,34,73110,2019
24426,42262,47,1663,0,12285,2528,34,74000,2019
39273,4611,851,3348,0,16607,3287,34,74630,2019
416351,17712,27393,17428,499,54822,26299,35,02000,2019
83391,2945,1916,2155,229,9671,3129,35,39380,2019
79745,3519,3661,2745,0,5990,3499,35,63460,2019
71871,924,1917,1620,0,5813,2555,35,70500,2019
55135,23059,271,6170,47,2638,9140,36,01000,2019
30750,8369,181,2926,283,15859,3562,36,08026,2019
114818,94822,1403,17798,69,17561,8829,36,11000,2019
59345,10612,332,733,157,1318,1561,36,15000,2019
12447,44844,1583,1442,0,5506,1508,36,49121,2019
45570,13510,0,4584,0,12598,2306,36,50617,2019
3531777,2060119,33787,1201923,3860,1190239,315112,36,51000,2019
96395,83449,713,5610,1007,10151,8379,36,63000,2019
35100,14073,116,3850,233,5904,5996,36,65508,2019
74652,45318,2344,9511,0,3285,7200,36,73000,2019
93181,41974,1061,11516,65,45024,7541,36,84000,2019
76206,11928,1031,1359,0,616,1719,37,02140,2019
112964,14222,681,35002,58,3180,5036,37,10740,2019
415665,313204,3687,55079,322,68724,29026,37,12000,2019
63423,16333,162,5001,0,8738,2685,37,14100,2019
140809,105393,375,13990,197,9096,9587,37,19000,2019
93152,87700,2240,7177,799,6259,14347,37,22920,2019
43731,25281,183,1352,0,3813,2917,37,25580,2019
127829,127349,1881,17125,112,10241,12188,37,28000,2019
45852,38724,0,2693,0,1225,4897,37,28080,2019
56940,39359,1094,7699,61,2431,4172,37,31400,2019
50096,12003,360,2293,22,772,6892,37,34200,2019
275336,137734,3328,19078,70,27619,11543,37,55000,2019
92956,22782,298,1080,100,2734,3778,37,74440,2019
140814,88464,834,5207,0,5629,7003,37,75000,2019
65891,1789,3892,682,135,166,2077,38,07200,2019
101605,11044,1626,3690,0,831,4940,38,25700,2019
119527,58601,609,10859,0,2341,5660,39,01000,2019
158961,125214,436,8643,105,707,9888,39,15000,2019
148235,189865,2829,9408,841,13543,16268,39,16000,2019
521991,263796,2628,53657,20,24323,35658,39,18000,2019
74465,52630,1701,1923,41,3429,6213,39,21000,2019
47284,9274,600,904,0,1326,4478,39,44856,2019
69345,3569,0,1882,0,1197,2100,39,61000,2019
168333,76848,870,3749,0,7243,15735,39,77000,2019
33506,27218,74,723,0,1118,2840,39,88000,2019
82672,5646,6590,5893,241,1163,8510,40,09050,2019
76904,5157,1846,4354,0,798,4999,40,23200,2019
53418,17187,4271,2947,208,2334,12661,40,41850,2019
97198,6494,4959,5747,118,2358,7993,40,52500,2019
452376,90300,21813,29701,774,23077,37117,40,55000,2019
267118,58254,18969,12542,601,14616,29660,40,75000,2019
74388,3084,312,13473,1166,3201,3416,41,05350,2019
92352,428,552,2324,92,1329,3353,41,05800,2019
144771,2861,891,7096,945,5701,10349,41,23850,2019
86124,4226,1153,5700,1716,3964,6496,41,31250,2019
69368,2314,2353,13497,654,11863,9071,41,34100,2019
75456,1122,627,1145,0,736,3998,41,47000,2019
504864,36862,4985,53265,2184,14216,37091,41,59000,2019
136894,1869,1279,5941,1024,14275,13095,41,64900,2019
83448,21307,353,4380,72,8668,3213,42,02000,2019
49339,9980,395,2582,0,10745,3003,42,06088,2019
67856,14772,405,2168,34,3351,6951,42,24000,2019
617726,657343,7211,119641,897,128826,52420,42,60000,2019
198659,71191,840,16983,0,3073,9535,42,61000,2019
41045,12449,637,1931,145,28229,3937,42,63624,2019
62579,5809,0,2387,128,2949,2799,42,69000,2019
58960,6374,675,5774,153,5052,4471,44,19180,2019
42919,12791,279,2228,0,7727,6164,44,54640,2019
94189,37817,933,9899,69,24878,12090,44,59000,2019
73153,2560,586,2294,0,664,1749,44,74300,2019
104176,29585,91,3598,1485,1505,2711,45,13330,2019
74771,47503,139,3464,163,1424,3859,45,16000,2019
47845,16556,86,1044,1309,1785,2008,45,30850,2019
47925,52938,0,3128,2975,11256,4178,45,50875,2019
41484,30059,237,885,0,681,1695,45,61405,2019
63627,1951,7244,1021,0,0,3653,46,52980,2019
156866,12352,2522,3990,0,1116,6953,46,59020,2019
113117,53674,248,6046,338,4856,4524,47,14000,2019
98696,38866,997,3549,668,3697,11679,47,15160,2019
69103,4635,104,7519,0,308,1427,47,27740,2019
29745,31822,310,1083,0,2660,1567,47,37640,2019
145784,28611,1639,2944,35,1815,6782,47,40000,2019
197650,409998,889,13563,95,19349,9544,47,48000,2019
102501,29005,4,7522,0,2408,5472,47,51560,2019
419934,181426,2053,25916,787,22811,15653,47,52006,2019
94265,13948,145,2695,0,9343,2805,48,01000,2019
72640,8741,144,19725,0,2101,2279,48,01924,2019
160660,14228,1218,10193,446,5569,5051,48,03000,2019
209561,95214,574,28119,1718,48751,14923,48,04000,2019
58681,16388,105,2667,0,2540,2191,48,04462,2019
715060,76480,8401,80117,504,57942,40759,48,05000,2019
61360,10055,515,593,157,3176,1039,48,06128,2019
55726,52622,507,3528,204,3158,1077,48,07000,2019
171537,780,113,1876,63,6977,1435,48,10768,2019
66332,16003,52,1284,303,1015,1279,48,10912,2019
90166,13332,844,24001,536,4461,5932,48,13024,2019
62407,3055,398,6941,102,1418,3098,48,13552,2019
92898,8500,66,11087,70,1248,4042,48,15976,2019
76301,8758,436,1824,0,2073,1689,48,16432,2019
292495,13816,766,7663,0,6410,5440,48,17000,2019
835216,330519,6746,50033,371,90392,30288,48,19000,2019
109434,14676,1509,5668,106,3489,6640,48,19972,2019
88164,2051,39,2009,0,8018,887,48,22660,2019
