B15003_017E,state,place,year
11116,04,73000,2019
13514,04,07940,2019
9213,06,80644,2019
10347,06,39892,2019
18443,06,33434,2019
26131,06,40130,2019
53709,06,43000,2019
14673,06,56000,2019
21951,06,58072,2019
9754,06,50258,2019
16896,06,22804,2019
15945,06,46842,2019
13680,06,16532,2019
12525,06,53980,2019
22062,06,22230,2019
20602,06,81666,2019
7475,06,47766,2019
5674,06,45022,2019
10401,06,46898,2019
14241,06,80238,2019
14642,04,64210,2019
36479,01,07000,2019
,01,35896,2019
20790,04,71510,2019
12458,05,24550,2019
,08,12415,2019
,08,09280,2019
10839,05,35710,2019
25618,06,53896,2019
17548,06,33182,2019
14096,06,56700,2019
7287,08,45970,2019
21299,04,54050,2019
27496,04,12000,2019
39250,04,27820,2019
69407,04,46000,2019
,04,23620,2019
218527,04,55000,2019
21754,04,27400,2019
13079,06,02364,2019
14069,06,65042,2019
10004,04,28380,2019
12189,06,21712,2019
18422,06,82590,2019
50659,06,02000,2019
14261,06,28000,2019
23848,06,36000,2019
11712,05,60410,2019
,05,23290,2019
9575,05,66080,2019
11938,06,57456,2019
,06,83346,2019
16210,06,17918,2019
14577,06,16000,2019
,06,68378,2019
13534,06,59920,2019
11269,01,21184,2019
40388,02,03000,2019
14792,06,45484,2019
105225,06,68000,2019
72645,06,67000,2019
10960,06,69084,2019
12388,06,82996,2019
51799,08,16000,2019
17585,08,62000,2019
483410,06,44000,2019
22715,06,69088,2019
9305,06,59444,2019
8073,06,86972,2019
8605,06,77000,2019
135703,06,66000,2019
18414,06,64224,2019
17249,06,23182,2019
,22,08920,2019
,19,01855,2019
15398,19,82425,2019
,13,01696,2019
6453,13,67284,2019
9263,12,24562,2019
,12,00410,2019
36243,12,58715,2019
38912,12,53000,2019
11260,12,36100,2019
12884,12,45025,2019
12829,12,16475,2019
18273,12,14400,2019
22321,12,54200,2019
24698,12,54000,2019
17415,12,08150,2019
9009,17,68003,2019
17131,26,86000,2019
,26,03000,2019
25593,26,34000,2019
,06,55282,2019
17554,01,37000,2019
,01,03076,2019
34570,19,21000,2019
20859,19,12000,2019
15468,24,32650,2019
41546,18,25000,2019
12501,17,79293,2019
,12,57900,2019
12308,13,80508,2019
48653,12,30000,2019
7064,12,32275,2019
84551,12,45000,2019
14092,12,16525,2019
18411,17,72000,2019
7826,17,12385,2019
9840,27,06616,2019
,27,40166,2019
29878,26,76460,2019
,19,38595,2019
7879,20,38900,2019
5307,24,31175,2019
141054,18,36003,2019
16383,18,71000,2019
21342,17,65000,2019
55003,15,71550,2019
11209,13,01052,2019
22381,17,03012,2019
15426,12,24125,2019
,12,71569,2019
21241,12,68350,2019
,27,17288,2019
,27,35180,2019
6386,26,27440,2019
17976,06,80000,2019
40035,06,48354,2019
8467,06,80812,2019
17325,06,60466,2019
7623,06,11390,2019
13988,18,51876,2019
