B19013_001E,state,place,year
44400,12,70675,2019
57709,12,71000,2019
72195,12,71569,2019
68233,12,71625,2019
56400,12,72145,2019
85886,12,75812,2019
89507,12,75875,2019
125105,12,76582,2019
51089,12,76600,2019
31397,13,01052,2019
136047,13,01696,2019
39451,13,03440,2019
66657,13,04000,2019
44914,13,04204,2019
46934,13,19000,2019
151773,13,42425,2019
42140,13,49008,2019
109805,13,67284,2019
83111,13,68516,2019
45533,13,69000,2019
80051,13,72122,2019
51289,13,80508,2019
72943,15,71550,2019
65463,16,08830,2019
75515,16,52120,2019
57352,16,56260,2019
102628,17,02154,2019
73071,17,03012,2019
67874,17,06613,2019
94198,17,07133,2019
47379,17,12385,2019
61811,17,14000,2019
51814,17,14351,2019
41440,17,18823,2019
70192,17,23074,2019
81543,17,24582,2019
71284,17,38570,2019
140061,17,51622,2019
83834,17,57225,2019
53360,17,59000,2019
46803,17,65000,2019
87156,17,68003,2019
76324,17,70122,2019
54484,17,72000,2019
54030,17,79293,2019
41017,18,05860,2019
113714,18,10342,2019
42600,18,22000,2019
111176,18,23278,2019
49855,18,25000,2019
31341,18,27000,2019
48333,18,31000,2019
49661,18,36003,2019
45126,18,40788,2019
37109,18,51876,2019
100051,18,54180,2019
41599,18,71000,2019
50528,19,01855,2019
94862,19,02305,2019
56774,19,12000,2019
57374,19,19000,2019
53859,19,21000,2019
50497,19,38595,2019
53424,19,73335,2019
51847,19,82425,2019
82755,19,83910,2019
45391,20,36000,2019
57829,20,38900,2019
94292,20,52575,2019
91518,20,53775,2019
84909,20,64500,2019
50761,20,71000,2019
55056,20,79000,2019
42164,21,08902,2019
58356,21,46027,2019
54853,21,48006,2019
45819,22,05000,2019
47339,22,08920,2019
58283,22,39475,2019
51477,22,40735,2019
37894,22,41155,2019
60404,22,50115,2019
45615,22,55000,2019
45013,22,70000,2019
61779,23,60545,2019
50177,24,04000,2019
104237,24,19125,2019
130930,24,26000,2019
86389,24,30325,2019
104567,24,31175,2019
100064,24,32025,2019
83883,24,32650,2019
100677,24,67675,2019
88954,24,72450,2019
95206,24,81175,2019
79018,25,07000,2019
60250,25,09000,2019
119540,25,11000,2019
41346,25,23000,2019
80749,25,24960,2019
50965,25,34550,2019
62487,25,37000,2019
61572,25,37490,2019
47305,25,45000,2019
150106,25,45560,2019
80959,25,55745,2019
100643,25,62535,2019
44596,25,67000,2019
57092,25,82000,2019
72137,26,03000,2019
53509,26,21000,2019
33965,26,22000,2019
86178,26,27440,2019
32236,26,29000,2019
51817,26,34000,2019
39494,26,42160,2019
41066,26,46000,2019
81305,26,49000,2019
101620,26,69035,2019
51637,26,74900,2019
67238,26,76460,2019
110909,26,80700,2019
52739,26,84000,2019
54303,26,86000,2019
57570,26,88940,2019
86747,27,06382,2019
74675,27,06616,2019
81757,27,07966,2019
55819,27,17000,2019
87029,27,17288,2019
117083,27,35180,2019
115097,27,40166,2019
65889,27,43000,2019
113878,27,51730,2019
74527,27,54880,2019
53829,27,56896,2019
63174,27,58000,2019
116517,27,71428,2019
36013,28,29700,2019
38972,28,36000,2019
56501,29,15670,2019
52325,29,35000,2019
55259,29,38000,2019
106912,29,41348,2019
92827,29,54074,2019
72104,29,64082,2019
43614,29,64550,2019
47176,29,65000,2019
35677,29,70000,2019
58394,30,06550,2019
50194,30,50200,2019
59228,31,28000,2019
61305,31,37000,2019
85795,32,23770,2019
81505,32,31900,2019
58713,32,40000,2019
64460,32,51800,2019
52843,32,54600,2019
67082,32,60600,2019
73568,32,68400,2019
60600,32,68585,2019
44422,32,71400,2019
64162,33,45140,2019
78284,33,50260,2019
66213,34,03580,2019
33120,34,10000,2019
84804,34,13690,2019
50195,34,19390,2019
50732,34,21000,2019
81693,34,36000,2019
40235,34,51000,2019
52158,34,56550,2019
47369,34,57000,2019
77191,34,73110,2019
34000,34,74000,2019
60140,34,74630,2019
55567,35,02000,2019
45130,35,39380,2019
74130,35,63460,2019
59247,35,70500,2019
49096,36,01000,2019
100785,36,08026,2019
40843,36,11000,2019
50890,36,15000,2019
59289,36,49121,2019
74508,36,50617,2019
69407,36,51000,2019
37711,36,63000,2019
40356,36,65508,2019
39494,36,73000,2019
64916,36,84000,2019
52339,37,02140,2019
106304,37,10740,2019
63483,37,12000,2019
75578,37,14100,2019
65534,37,19000,2019
43789,37,22920,2019
49172,37,25580,2019
49748,37,28000,2019
48169,37,28080,2019
48348,37,31400,2019
46374,37,34200,2019
69333,37,55000,2019
48381,37,74440,2019
44576,37,75000,2019
65870,38,07200,2019
52810,38,25700,2019
41013,39,01000,2019
32125,39,12000,2019
46260,39,15000,2019
32053,39,16000,2019
57118,39,18000,2019
33116,39,21000,2019
36162,39,44856,2019
57376,39,61000,2019
36709,39,77000,2019
29143,39,88000,2019
74290,40,09050,2019
88546,40,23200,2019
46886,40,41850,2019
55849,40,52500,2019
55492,40,55000,2019
49158,40,75000,2019
73260,41,05350,2019
69998,41,05800,2019
51269,41,23850,2019
53892,41,31250,2019
86038,41,34100,2019
54737,41,47000,2019
76231,41,59000,2019
61580,41,64900,2019
40835,42,02000,2019
60268,42,06088,2019
35798,42,24000,2019
47474,42,60000,2019
53799,42,61000,2019
39670,42,63624,2019
41169,42,69000,2019
72930,44,19180,2019
54143,44,54640,2019
50097,44,59000,2019
75384,44,74300,2019
79359,45,13330,2019
47386,45,16000,2019
59278,45,30850,2019
121318,45,48535,2019
53470,45,50875,2019
51879,45,61405,2019
51296,46,52980,2019
61058,46,59020,2019
46533,47,14000,2019
51281,47,15160,2019
103813,47,27740,2019
46112,47,37640,2019
42797,47,38320,2019
41388,47,40000,2019
43794,47,48000,2019
68373,47,51560,2019
63462,47,52006,2019
52997,48,01000,2019
101360,48,01924,2019
49802,48,03000,2019
61716,48,04000,2019
104388,48,04462,2019
75413,48,05000,2019
57765,48,06128,2019
54488,48,07000,2019
41271,48,10768,2019
49769,48,10912,2019
85830,48,13024,2019
101496,48,13552,2019
52268,48,15976,2019
69077,48,16432,2019
55564,48,17000,2019
55332,48,19000,2019
66644,48,19972,2019
46000,48,22660,2019
48542,48,24000,2019
139508,48,26232,2019
65356,48,27000,2019
116884,48,27684,2019
62556,48,29000,2019
73552,48,29336,2019
66097,48,30464,2019
36868,48,32372,2019
52450,48,35000,2019
67263,48,37000,2019
48622,48,39148,2019
57468,48,41464,2019
115650,48,41980,2019
117892,48,42016,2019
65836,48,42508,2019
53987,48,43888,2019
52254,48,45000,2019
46319,48,45384,2019
89828,48,45744,2019
105182,48,46452,2019
61047,48,47892,2019
84955,48,48072,2019
54793,48,48768,2019
86486,48,48804,2019
81131,48,50820,2019
75830,48,52356,2019
66316,48,53388,2019
53819,48,56000,2019
106757,48,56348,2019
90329,48,57176,2019
36342,48,57200,2019
93321,48,58016,2019
91118,48,61796,2019
86145,48,63500,2019
100465,48,63572,2019
54972,48,64472,2019
53751,48,65000,2019
127598,48,70808,2019
55792,48,72176,2019
127469,48,72656,2019
52294,48,74144,2019
55968,48,75428,2019
41481,48,76000,2019
48861,48,79000,2019
76032,49,43660,2019
105280,49,44320,2019
60054,49,55980,2019
70465,49,57300,2019
53864,49,62470,2019
62178,49,65330,2019
63971,49,67000,2019
92032,49,67440,2019
108626,49,70850,2019
87006,49,82950,2019
73917,49,83470,2019
103284,51,01000,2019
119755,51,03000,2019
126859,51,14440,2019
77847,51,16000,2019
95602,51,21088,2019
56930,51,35000,2019
54850,51,47672,2019
53029,51,56000,2019
53093,51,57000,2019
51195,51,64000,2019
51285,51,67000,2019
45838,51,68000,2019
80481,51,76432,2019
79054,51,82000,2019
73466,53,03180,2019
127402,53,05210,2019
58492,53,05280,2019
64183,53,22640,2019
64263,53,23515,2019
61983,53,35275,2019
81423,53,35415,2019
121588,53,35940,2019
81335,53,43955,2019
60377,53,53545,2019
142920,53,57535,2019
80310,53,57745,2019
188120,53,61115,2019
102486,53,63000,2019
92979,53,65922,2019
52447,53,67000,2019
57513,53,67167,2019
70411,53,70000,2019
66679,53,74060,2019
44292,53,80010,2019
60129,55,02375,2019
59684,55,22300,2019
49029,55,31000,2019
55594,55,39225,2019
66847,55,48000,2019
44192,55,53000,2019
54925,55,60500,2019
43748,55,66000,2019
72411,55,84250,2019
27732,72,06593,2019
23102,72,10334,2019
28436,72,14290,2019
42202,72,32522,2019
15978,72,63820,2019
23045,72,76770,2019
24315,01,00100,2020
41500,01,00124,2020
44734,01,00460,2020
38523,01,00484,2020
25156,01,00676,2020
80871,01,00820,2020
51095,01,00988,2020
41004,01,01132,2020
85126,01,01180,2020
26300,01,01228,2020
47898,01,01396,2020
31961,01,01660,2020
41410,01,01708,2020
71250,01,01756,2020
41366,01,01852,2020
48391,01,02116,2020
35417,01,02260,2020
76479,01,02320,2020
29762,01,02428,2020
46500,01,02500,2020
47898,01,02836,2020
25793,01,02860,2020
49048,01,02908,2020
53144,01,02956,2020
25211,01,03004,2020
42744,01,03028,2020
49028,01,03076,2020
35500,01,03220,2020
48750,01,03364,2020
-666666666,01,03508,2020
38421,01,03556,2020
50817,01,03676,2020
40893,01,03724,2020
52414,01,03820,2020
40556,01,03940,2020
39588,01,04660,2020
33750,01,04684,2020
33421,01,04852,2020
27500,01,04900,2020
36607,01,04948,2020
38750,01,05140,2020
37067,01,05164,2020
30556,01,05188,2020
53750,01,05212,2020
103125,01,05692,2020
52863,01,05812,2020
47500,01,05932,2020
30284,01,05980,2020
22031,01,06460,2020
38832,01,07000,2020
51031,01,07120,2020
38229,01,07456,2020
103083,01,07588,2020
48393,01,07672,2020
41556,01,07912,2020
9083,01,08104,2020
25417,01,08248,2020
51955,01,08272,2020
16023,01,08680,2020
26786,01,09016,2020
39750,01,09064,2020
-666666666,01,09136,2020
41444,01,09208,2020
33065,01,09328,2020
28906,01,09400,2020
40253,01,09424,2020
49219,01,09457,2020
56301,01,09500,2020
55000,01,09736,2020
64115,01,09808,2020
-666666666,01,09880,2020
33914,01,10240,2020
-666666666,01,10456,2020
38977,01,11032,2020
68171,01,11416,2020
26866,01,11488,2020
47949,01,11512,2020
27222,01,11680,2020
26333,01,12016,2020
-666666666,01,12040,2020
34457,01,12070,2020
-666666666,01,12112,2020
46250,01,12160,2020
25000,01,12304,2020
28036,01,12496,2020
-666666666,01,12544,2020
31382,01,12760,2020
45221,01,13264,2020
36887,01,13648,2020
42041,01,13672,2020
51875,01,14008,2020
92917,01,14104,2020
35875,01,14152,2020
32332,01,14392,2020
39636,01,14464,2020
86250,01,14728,2020
33836,01,14968,2020
43884,01,15064,2020
43675,01,15136,2020
67854,01,15256,2020
45724,01,15304,2020
24083,01,15376,2020
44798,01,15472,2020
22378,01,15640,2020
71731,01,16000,2020
40800,01,16080,2020
40556,01,16240,2020
25556,01,16264,2020
59265,01,16312,2020
37772,01,16600,2020
41250,01,16684,2020
51563,01,16744,2020
45759,01,16768,2020
64863,01,16936,2020
56058,01,17176,2020
30919,01,17368,2020
55833,01,17704,2020
27125,01,17824,2020
80000,01,17968,2020
35417,01,18040,2020
49414,01,18088,2020
52679,01,18304,2020
40192,01,18856,2020
40750,01,18952,2020
52301,01,18976,2020
-666666666,01,19024,2020
63750,01,19216,2020
26350,01,19336,2020
35255,01,19360,2020
71105,01,19648,2020
65481,01,19744,2020
48750,01,19816,2020
38750,01,19912,2020
79688,01,20008,2020
49296,01,20104,2020
-666666666,01,20152,2020
-666666666,01,20272,2020
32743,01,20296,2020
22708,01,20392,2020
42679,01,20955,2020
50195,01,21136,2020
48377,01,21184,2020
26369,01,21280,2020
48750,01,21328,2020
39479,01,21448,2020
55461,01,21890,2020
-666666666,01,21952,2020
139625,01,22088,2020
37917,01,22216,2020
67727,01,22504,2020
42361,01,22816,2020
122984,01,23032,2020
72188,01,23176,2020
40781,01,23224,2020
37124,01,23296,2020
47473,01,23320,2020
54375,01,23344,2020
42500,01,23488,2020
17218,01,23656,2020
-666666666,01,23872,2020
106094,01,23880,2020
62182,01,24184,2020
23267,01,24256,2020
-666666666,01,24280,2020
40625,01,24472,2020
34713,01,24568,2020
13672,01,24616,2020
28508,01,24664,2020
76875,01,24688,2020
29610,01,24808,2020
57368,01,24880,2020
41439,01,25120,2020
-666666666,01,25216,2020
80106,01,25240,2020
32159,01,25384,2020
39563,01,25648,2020
-666666666,01,25816,2020
30313,01,25840,2020
59175,01,25864,2020
-666666666,01,26152,2020
46250,01,26200,2020
28125,01,26824,2020
22070,01,26848,2020
39735,01,26896,2020
48373,01,26992,2020
57588,01,27088,2020
26534,01,27376,2020
40781,01,27520,2020
42200,01,27616,2020
61769,01,27640,2020
76842,01,28024,2020
43462,01,28120,2020
21146,01,28312,2020
-666666666,01,28408,2020
46538,01,28432,2020
39583,01,28504,2020
67325,01,28552,2020
29808,01,28672,2020
34062,01,28696,2020
-666666666,01,28768,2020
-666666666,01,28816,2020
-666666666,01,28936,2020
41250,01,29032,2020
75170,01,29056,2020
48125,01,29296,2020
31875,01,29392,2020
38926,01,29464,2020
37545,01,29560,2020
41103,01,29608,2020
48750,01,29704,2020
38750,01,29944,2020
61514,01,29992,2020
34375,01,30160,2020
-666666666,01,30448,2020
54091,01,30496,2020
30417,01,30640,2020
38162,01,30736,2020
40625,01,30760,2020
37500,01,30808,2020
36875,01,30880,2020
-666666666,01,31000,2020
73553,01,31024,2020
57273,01,31096,2020
50095,01,31348,2020
48229,01,31384,2020
22132,01,31720,2020
41012,01,31912,2020
38654,01,32056,2020
49018,01,32080,2020
39725,01,32224,2020
-666666666,01,32248,2020
53209,01,32272,2020
50142,01,32416,2020
46667,01,32440,2020
32813,01,32536,2020
28268,01,32560,2020
35000,01,32584,2020
68750,01,32656,2020
39886,01,32704,2020
38613,01,32848,2020
52885,01,32896,2020
33900,01,32968,2020
-666666666,01,33064,2020
61118,01,33256,2020
38642,01,33424,2020
56323,01,33448,2020
104929,01,33472,2020
75893,01,33544,2020
67386,01,33640,2020
23836,01,33712,2020
48105,01,33808,2020
65278,01,33856,2020
53240,01,33904,2020
40260,01,33976,2020
89982,01,34024,2020
48281,01,34096,2020
52000,01,34480,2020
155200,01,34490,2020
51494,01,34816,2020
-666666666,01,34984,2020
121667,01,35130,2020
50145,01,35152,2020
62500,01,35200,2020
53920,01,35392,2020
42794,01,35512,2020
46532,01,35536,2020
38333,01,35560,2020
43333,01,35632,2020
36447,01,35704,2020
54336,01,35752,2020
84418,01,35800,2020
92984,01,35896,2020
41932,01,36088,2020
51350,01,36448,2020
40349,01,36592,2020
56758,01,37000,2020
41528,01,37096,2020
56786,01,37264,2020
37344,01,37312,2020
120313,01,37465,2020
61051,01,37864,2020
33426,01,38032,2020
41944,01,38152,2020
50833,01,38248,2020
41530,01,38272,2020
53308,01,38416,2020
51903,01,38608,2020
-666666666,01,39064,2020
40625,01,39280,2020
50156,01,39472,2020
42875,01,39520,2020
52005,01,39784,2020
93772,01,39856,2020
47250,01,40072,2020
37500,01,40096,2020
39569,01,40648,2020
29448,01,40672,2020
49375,01,40888,2020
81332,01,40928,2020
34785,01,41296,2020
51667,01,41368,2020
62227,01,41968,2020
54938,01,42016,2020
28295,01,42160,2020
102542,01,42304,2020
43750,01,42352,2020
62222,01,42472,2020
53125,01,42640,2020
61750,01,42808,2020
50035,01,42928,2020
63824,01,43120,2020
33542,01,43240,2020
33824,01,43264,2020
35417,01,43336,2020
40556,01,43384,2020
44167,01,43648,2020
16233,01,43720,2020
55750,01,43744,2020
30625,01,43816,2020
37292,01,43888,2020
38021,01,44160,2020
33750,01,44344,2020
41667,01,44536,2020
62292,01,44608,2020
48468,01,44728,2020
36115,01,44800,2020
71061,01,45040,2020
49038,01,45208,2020
-666666666,01,45316,2020
73000,01,45472,2020
30000,01,45496,2020
9018,01,45640,2020
94214,01,45784,2020
57500,01,45904,2020
78897,01,46072,2020
21828,01,46192,2020
39583,01,46264,2020
50278,01,46504,2020
48451,01,46600,2020
60707,01,46696,2020
24275,01,46768,2020
46563,01,47728,2020
120625,01,47740,2020
-666666666,01,47848,2020
-666666666,01,48052,2020
37188,01,48064,2020
77964,01,48112,2020
43219,01,48376,2020
28448,01,48400,2020
18365,01,48424,2020
27031,01,48616,2020
56722,01,48712,2020
51250,01,48784,2020
59444,01,48808,2020
38967,01,48832,2020
47143,01,49072,2020
43456,01,50000,2020
29543,01,50192,2020
38066,01,50312,2020
49608,01,51000,2020
66245,01,51096,2020
73841,01,51216,2020
146250,01,51264,2020
84000,01,51456,2020
20886,01,51469,2020
26970,01,51520,2020
34227,01,51600,2020
53397,01,51648,2020
152646,01,51696,2020
40000,01,52320,2020
76250,01,52344,2020
41944,01,52608,2020
60946,01,52680,2020
33000,01,52776,2020
29861,01,52848,2020
54620,01,53016,2020
77596,01,53112,2020
-666666666,01,53208,2020
102892,01,53232,2020
32813,01,53256,2020
-666666666,01,53376,2020
34286,01,53400,2020
41576,01,53448,2020
-666666666,01,53472,2020
36250,01,53784,2020
64091,01,53856,2020
71250,01,54168,2020
42063,01,54312,2020
55114,01,54432,2020
58889,01,54480,2020
54816,01,54582,2020
30714,01,54600,2020
34345,01,54696,2020
26217,01,55044,2020
38370,01,55152,2020
64814,01,55200,2020
37147,01,55440,2020
52143,01,55752,2020
-666666666,01,55848,2020
20893,01,55992,2020
75625,01,56400,2020
50750,01,56472,2020
38922,01,57000,2020
33594,01,57024,2020
50488,01,57048,2020
34548,01,57120,2020
81295,01,57144,2020
13393,01,57240,2020
63942,01,57384,2020
61188,01,57504,2020
63156,01,57576,2020
41894,01,57648,2020
50500,01,57696,2020
-666666666,01,57912,2020
32679,01,58272,2020
32560,01,58680,2020
79268,01,58848,2020
59536,01,58896,2020
24007,01,58968,2020
-666666666,01,59016,2020
45625,01,59064,2020
69583,01,59088,2020
-666666666,01,59232,2020
55893,01,59328,2020
41842,01,59472,2020
29375,01,59496,2020
29531,01,59592,2020
43570,01,59640,2020
100865,01,59760,2020
40469,01,59832,2020
33750,01,59880,2020
28125,01,60240,2020
66473,01,60264,2020
70671,01,60372,2020
67637,01,60648,2020
47125,01,60720,2020
64087,01,61008,2020
51169,01,61038,2020
61188,01,61488,2020
30938,01,61536,2020
50172,01,62075,2020
64613,01,62328,2020
92594,01,62472,2020
30464,01,62496,2020
56250,01,62688,2020
-666666666,01,62952,2020
37422,01,63216,2020
48644,01,63288,2020
38028,01,63336,2020
49167,01,63408,2020
44081,01,63495,2020
28082,01,63576,2020
114132,01,63730,2020
43295,01,63768,2020
94479,01,63912,2020
57083,01,63984,2020
23958,01,64040,2020
33468,01,64104,2020
59000,01,64152,2020
54792,01,64248,2020
34762,01,64368,2020
26250,01,64656,2020
29028,01,64776,2020
51813,01,64920,2020
33750,01,65016,2020
42360,01,65040,2020
48578,01,65208,2020
55375,01,65412,2020
21563,01,65472,2020
34015,01,65592,2020
-666666666,01,65784,2020
46250,01,66216,2020
24754,01,66408,2020
44674,01,67056,2020
34659,01,67176,2020
38571,01,67536,2020
46892,01,67584,2020
46250,01,67608,2020
25667,01,67800,2020
62500,01,67920,2020
-666666666,01,68016,2020
61116,01,68160,2020
62917,01,68280,2020
82768,01,68352,2020
43713,01,68736,2020
32279,01,69000,2020
26581,01,69120,2020
31732,01,69180,2020
52817,01,69240,2020
36774,01,69648,2020
76016,01,69672,2020
51328,01,69840,2020
116346,01,69978,2020
40804,01,70128,2020
43971,01,70416,2020
51296,01,70536,2020
-666666666,01,70632,2020
20000,01,70704,2020
36233,01,70896,2020
38170,01,71040,2020
49470,01,71190,2020
103596,01,71201,2020
42193,01,71280,2020
31250,01,71496,2020
70306,01,71832,2020
-666666666,01,71900,2020
86505,01,71976,2020
-666666666,01,72408,2020
82662,01,72600,2020
-666666666,01,72672,2020
51250,01,72720,2020
108864,01,72816,2020
60408,01,72888,2020
-666666666,01,73056,2020
38321,01,73080,2020
54063,01,73152,2020
123295,01,73272,2020
22159,01,73728,2020
55139,01,73848,2020
53274,01,73872,2020
49375,01,74160,2020
55417,01,74304,2020
37093,01,74352,2020
43526,01,74400,2020
70852,01,74424,2020
30088,01,74592,2020
45833,01,74616,2020
50313,01,74688,2020
34032,01,74976,2020
46729,01,75096,2020
51801,01,75768,2020
-666666666,01,75936,2020
34261,01,75960,2020
55978,01,76080,2020
-666666666,01,76200,2020
44688,01,76208,2020
43989,01,76320,2020
42125,01,76584,2020
-666666666,01,76632,2020
26154,01,76680,2020
62375,01,76824,2020
70288,01,76872,2020
34603,01,76920,2020
104976,01,76944,2020
44507,01,77256,2020
41131,01,77280,2020
28629,01,77304,2020
-666666666,01,77352,2020
39020,01,77580,2020
25125,01,77616,2020
-666666666,01,77784,2020
21422,01,77880,2020
19408,01,77904,2020
41750,01,78120,2020
50445,01,78204,2020
65682,01,78232,2020
38914,01,78240,2020
61635,01,78264,2020
22700,01,78312,2020
31903,01,78480,2020
110478,01,78552,2020
34250,01,78984,2020
34844,01,79008,2020
-666666666,01,79032,2020
10139,01,79272,2020
20156,01,79344,2020
35000,01,79488,2020
33711,01,79728,2020
34620,01,79944,2020
37813,01,80064,2020
60000,01,80256,2020
61875,01,80352,2020
38309,01,80376,2020
32438,01,80496,2020
-666666666,01,80736,2020
36667,01,80928,2020
37708,01,81084,2020
-666666666,01,81336,2020
