state,year,white_alone,black_alone,american_indian_alaska_native_alone,asian_alone,native_hawaiian_pacific_islander_alone,other_race
WI,2020,3487866.0,357963.0,35181.0,148673.0,2317.0,284238.0
VA,2020,3611711.0,1250486.0,15907.0,508067.0,5042.0,519056.0
NY,2020,9064178.0,2883158.0,65973.0,1592947.0,8660.0,2447936.0
DE,2020,248746.0,121660.0,1274.0,17328.0,592.0,29682.0
ID,2020,1104623.0,9694.0,16119.0,21203.0,2347.0,111990.0
GA,2020,2576283.0,2048357.0,21364.0,222901.0,4191.0,343542.0
IN,2020,3596202.0,599961.0,11032.0,136776.0,1646.0,318139.0
KS,2020,1991825.0,159451.0,18602.0,84825.0,2160.0,200157.0
HI,2020,326551.0,25533.0,3266.0,529223.0,142377.0,355568.0
DC,2020,288306.0,318631.0,2438.0,28762.0,328.0,63509.0
FL,2020,11374832.0,2898513.0,40143.0,475675.0,10183.0,1608281.0
CT,2020,1505766.0,308029.0,6652.0,101019.0,874.0,289785.0
IA,2020,2235148.0,114272.0,8599.0,76517.0,3862.0,122288.0
IL,2020,7543567.0,1756156.0,31201.0,676279.0,4813.0,1238173.0
KY,2020,2121952.0,333837.0,4788.0,59402.0,2239.0,133725.0
AZ,2021,2790527.0,275780.0,103208.0,211593.0,9529.0,1573644.0
MT,2021,163430.0,888.0,9298.0,2449.0,18.0,16204.0
OH,2021,1242832.0,757464.0,6761.0,86044.0,1099.0,301319.0
SD,2021,213208.0,14432.0,11340.0,6100.0,239.0,27382.0
AL,2021,507972.0,518381.0,3003.0,34815.0,419.0,73950.0
CA,2021,8954499.0,1656789.0,347136.0,4389934.0,103896.0,9782670.0
IA,2021,658273.0,69915.0,4865.0,40134.0,990.0,110177.0
NC,2021,1564386.0,992212.0,15036.0,184473.0,1357.0,490521.0
SC,2021,387922.0,186296.0,4121.0,15826.0,713.0,51199.0
DC,2021,253842.0,289302.0,1281.0,27692.0,153.0,97780.0
ND,2021,164369.0,11766.0,4126.0,4959.0,1087.0,12677.0
NV,2021,1113705.0,266656.0,29295.0,247166.0,21323.0,784444.0
RI,2021,230321.0,36857.0,2652.0,20571.0,1135.0,139122.0
ID,2021,429099.0,8488.0,5362.0,11677.0,834.0,81037.0
IL,2021,1921952.0,995606.0,46159.0,366448.0,2373.0,1183849.0
NE,2021,557516.0,69050.0,7180.0,30036.0,176.0,115989.0
PR,2021,207646.0,79547.0,879.0,1371.0,84.0,601241.0
HI,2021,65378.0,5454.0,761.0,174192.0,28602.0,71145.0
NY,2021,3390935.0,2175713.0,80970.0,1282716.0,6638.0,2770028.0
NH,2021,149893.0,9110.0,591.0,13116.0,0.0,33882.0
PA,2021,969083.0,732603.0,8294.0,144998.0,1977.0,485532.0
OK,2021,924060.0,187686.0,57554.0,58984.0,1875.0,301691.0
NJ,2021,340767.0,416069.0,7683.0,113303.0,53.0,628999.0
OR,2021,1049765.0,55709.0,15362.0,98284.0,8930.0,273411.0
AR,2021,393911.0,128583.0,6047.0,20740.0,6885.0,133448.0
NM,2021,411243.0,25325.0,41301.0,23551.0,690.0,367423.0
GA,2021,783584.0,738744.0,8041.0,101538.0,1053.0,197708.0
IN,2021,1155107.0,357323.0,7392.0,85660.0,432.0,265714.0
FL,2021,3573266.0,1624357.0,19114.0,247418.0,3199.0,2203283.0
AK,2021,164330.0,14744.0,19194.0,27525.0,9011.0,53317.0
MD,2021,494656.0,533006.0,5492.0,129167.0,876.0,194128.0
ME,2021,53503.0,7416.0,87.0,3677.0,0.0,3646.0
MS,2021,59565.0,148145.0,851.0,1770.0,175.0,11403.0
VA,2021,1206401.0,700894.0,10489.0,134731.0,2792.0,352031.0
WI,2021,862489.0,280634.0,10158.0,71134.0,124.0,243333.0
KS,2021,783755.0,106920.0,8684.0,63216.0,208.0,216588.0
MI,2021,1096085.0,765630.0,10722.0,140190.0,297.0,228467.0
MA,2021,1071607.0,307978.0,7244.0,211118.0,900.0,608946.0
CO,2021,2148994.0,170925.0,29142.0,123313.0,4928.0,741279.0
CT,2021,342998.0,202404.0,6603.0,43506.0,449.0,309973.0
WA,2021,1720983.0,166013.0,25888.0,420516.0,24106.0,539773.0
MN,2021,1067467.0,208570.0,7474.0,156764.0,310.0,183384.0
DE,2021,24420.0,32963.0,536.0,1332.0,71.0,11428.0
WY,2021,52132.0,3364.0,555.0,743.0,0.0,8254.0
UT,2021,872981.0,17124.0,11661.0,41678.0,16215.0,233634.0
LA,2021,502721.0,533187.0,3894.0,34840.0,151.0,121084.0
TX,2021,6299743.0,2125649.0,124061.0,979508.0,10565.0,5610468.0
MO,2021,1028848.0,315930.0,6098.0,46058.0,1954.0,164372.0
TN,2021,1132465.0,760018.0,6105.0,59450.0,3422.0,273222.0
KY,2021,670002.0,186732.0,2700.0,35778.0,1194.0,127477.0
WI,2022,865533.0,270540.0,10889.0,70749.0,680.0,245254.0
WA,2022,1716970.0,159220.0,26423.0,426074.0,25465.0,560846.0
AR,2022,401338.0,126063.0,8639.0,21046.0,9413.0,131961.0
OH,2022,1244487.0,742001.0,7244.0,86158.0,666.0,304119.0
OR,2022,1033175.0,57072.0,17671.0,96848.0,10247.0,280539.0
DE,2022,24096.0,36903.0,0.0,1058.0,0.0,9511.0
OK,2022,901121.0,181426.0,60946.0,64578.0,4283.0,333485.0
GA,2022,778043.0,863170.0,5348.0,100117.0,1041.0,200131.0
HI,2022,60766.0,6693.0,869.0,176700.0,28291.0,70118.0
VA,2022,1200056.0,702527.0,7183.0,141205.0,5191.0,334387.0
PR,2022,190831.0,75256.0,2217.0,3114.0,93.0,593804.0
FL,2022,3724963.0,1642406.0,25465.0,264826.0,3779.0,2305843.0
AK,2022,165167.0,15453.0,22335.0,29175.0,9019.0,45996.0
RI,2022,241014.0,33796.0,2267.0,22616.0,0.0,130395.0
AL,2022,524136.0,522198.0,3607.0,34177.0,632.0,67792.0
UT,2022,886872.0,18555.0,9768.0,43987.0,17996.0,223063.0
SC,2022,396832.0,184204.0,3785.0,13464.0,90.0,55536.0
TX,2022,6382727.0,2169551.0,124971.0,1027614.0,17344.0,5716263.0
DC,2022,257963.0,282578.0,3130.0,27961.0,836.0,99335.0
TN,2022,1160420.0,757386.0,4804.0,62617.0,2625.0,262887.0
SD,2022,218772.0,14215.0,10353.0,4693.0,117.0,32773.0
PA,2022,969913.0,725178.0,17596.0,152822.0,703.0,472125.0
IA,2022,646417.0,83951.0,5406.0,41806.0,4914.0,103506.0
KY,2022,658538.0,204756.0,983.0,35665.0,1328.0,118456.0
MT,2022,170771.0,941.0,6993.0,1838.0,742.0,15644.0
IN,2022,1193176.0,430850.0,10091.0,95529.0,1579.0,274128.0
MS,2022,58430.0,139390.0,1040.0,1755.0,0.0,17632.0
CA,2022,8870273.0,1626896.0,312823.0,4426697.0,107906.0,9840523.0
NC,2022,1596988.0,1021782.0,15734.0,204740.0,3534.0,516199.0
MN,2022,1058926.0,226178.0,12129.0,141925.0,180.0,179998.0
CT,2022,358663.0,191236.0,3299.0,43593.0,408.0,314723.0
ND,2022,168227.0,13837.0,3774.0,6639.0,2412.0,13434.0
MI,2022,1094446.0,745410.0,8472.0,153123.0,683.0,220374.0
IL,2022,1886770.0,968662.0,50224.0,371560.0,4540.0,1181177.0
KS,2022,800715.0,104319.0,12113.0,58209.0,2818.0,204404.0
NE,2022,559626.0,67855.0,6529.0,34133.0,437.0,109189.0
WY,2022,52778.0,1857.0,291.0,809.0,380.0,8508.0
ME,2022,53782.0,6132.0,0.0,1845.0,68.0,6593.0
NH,2022,150101.0,7565.0,635.0,11411.0,0.0,36591.0
AZ,2022,2847762.0,299304.0,108752.0,233564.0,11383.0,1597533.0
MO,2022,1015222.0,310753.0,4587.0,48369.0,2345.0,174223.0
CO,2022,2210608.0,186932.0,43013.0,129366.0,4133.0,728452.0
NY,2022,3310009.0,2186442.0,80183.0,1315682.0,4894.0,2675986.0
LA,2022,496446.0,528812.0,3209.0,36297.0,695.0,114485.0
NJ,2022,345666.0,394416.0,9662.0,118793.0,698.0,634140.0
NM,2022,434322.0,25883.0,37194.0,25198.0,1771.0,347592.0
MA,2022,1102790.0,319195.0,8844.0,244729.0,1015.0,589782.0
ID,2022,478387.0,7081.0,6824.0,12922.0,1117.0,104606.0
MD,2022,527907.0,546620.0,6310.0,123433.0,1247.0,216822.0
NV,2022,1113993.0,273613.0,29156.0,262530.0,17616.0,794474.0
IN,2023,1167702.0,406645.0,10147.0,91291.0,2059.0,312460.0
